altitude,oat,ias,burn
0,-5,100,620
0,-5,105,680
0,-5,110,650
0,-5,115,680
0,-5,120,710
0,-5,125,780
0,15,100,640
0,15,105,650
0,15,110,670
0,15,115,705
0,15,120,740
0,15,125,770
0,35,100,660
0,35,105,675
0,35,110,700
0,35,115,730
0,35,120,765
0,35,125,810
2000,-9,100,600
2000,-9,105,620
2000,-9,110,645
2000,-9,115,670
2000,-9,120,700
2000,-9,125,740
2000,11,100,620
2000,11,105,640
2000,11,110,660
2000,11,115,690
2000,11,120,725
2000,11,125,760
2000,31,100,640
2000,31,105,655
2000,31,110,680
2000,31,115,710
2000,31,120,750
2000,31,125,790
4000,-13,100,575
4000,-13,105,600
4000,-13,110,625
4000,-13,115,650
4000,-13,120,680
4000,-13,125,715
4000,7,100,600
4000,7,105,615
4000,7,110,645
4000,7,115,670
4000,7,120,705
4000,7,125,750
4000,27,100,620
4000,27,105,645
4000,27,110,665
4000,27,115,700
4000,27,120,735
4000,27,125,785
6000,-17,100,560
6000,-17,105,580
6000,-17,110,610
6000,-17,115,640
6000,-17,120,670
6000,-17,125,705
6000,3,100,585
6000,3,105,605
6000,3,110,630
6000,3,115,670
6000,3,120,700
6000,3,125,750
6000,23,100,610
6000,23,105,630
6000,23,110,665
6000,23,115,695
6000,23,120,745
8000,-21,100,560
8000,-21,105,575
8000,-21,110,600
8000,-21,115,635
8000,-21,120,670
8000,-21,125,710
8000,1,100,570
8000,1,105,600
8000,1,110,625
8000,1,115,660
8000,1,120,700
8000,1,125,760
8000,19,100,600
8000,19,105,615
8000,19,110,650
8000,19,115,700
8000,19,120,755
10000,-25,100,550
10000,-25,105,570
10000,-25,110,595
10000,-25,115,635
10000,-25,120,675
10000,-25,125,740
10000,5,100,565
10000,5,105,595
10000,5,110,625
10000,5,115,665
10000,5,120,720
10000,5,125,800
10000,15,100,600
10000,15,105,635
10000,15,110,675